"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1903,"AU","AU1903001","AUS","Australia","naturalisation prohibited for non-white",0,3,3,21,2,2,"Non-white people",1,"Australia","AUS",1903,"AU1903001"
1903,"NZ","NZ1903001","NZL","New Zealand","Assisted passage scheme reintroduced",0,3,2,14,2,5,"Australia, UK",-1,"New Zealand","NZL",1903,"NZ1903001"
1903,"CH","CH1903001","CHE","Switzerland","facilitated naturalisation of second generation (conditional ius soli)",0,3,3,21,1,2,"Non applicable",-1,"Switzerland","CHE",1903,"CH1903001"
1903,"US","US1903001","USA","United States","Entry prohibited to specific categories",0,1,2,13,14,2,"Non applicable",1,"United States","USA",1903,"US1903001"
1905,"GB","GB1905001","GBR","United Kingdom","first immigration controls",0,4,1,1,2,2,"Non applicable",1,"United Kingdom","GBR",1905,"GB1905001"
1905,"GB","GB1905002","GBR","United Kingdom","British nationals retained their right to enter and reside in UK",0,3,2,16,1,4,"Commonwealth countries, colonies and former colonies",-1,"United Kingdom","GBR",1905,"GB1905002"
1905,"GB","GB1905003","GBR","United Kingdom","entry ban on undesirables",0,3,2,13,14,2,"Non applicable",1,"United Kingdom","GBR",1905,"GB1905003"
1905,"GB","GB1905004","GBR","United Kingdom","deportation mechanism for criminals and paupers",0,3,4,24,14,2,"Non applicable",1,"United Kingdom","GBR",1905,"GB1905004"
1905,"GB","GB1905005","GBR","United Kingdom","distribution of competence to Home secretary",0,4,2,26,1,1,"Non applicable",9,"United Kingdom","GBR",1905,"GB1905005"
1905,"NO","NO1905001","NOR","Norway","Norway independent",999,999,999,28,999,999,"Non applicable",999,"Norway","NOR",1905,"NO1905001"
